item_slug,brand,name_en,name_ar,pack_size,pack_unit,pack_type,origin_country,in_aid_parcels,confidence,source_url,notes
tea,Lipton,"Lipton Yellow Label tea, 100 bags (150 g)",شاي ليبتون 100 كيس 150 غم,150,g,box,unknown,unknown,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza
tea,Lipton,"Lipton Yellow Label tea, 25 bags (50 g)",شاي ليبتون 25 كيس 50 غم,50,g,box,unknown,unknown,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza
tea,Al-Diyafa,Al-Diyafa premium Ceylon tea 250 g,الضيافة شاي سيلاني فاخر 250 غم,250,g,box,unknown,no,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza
tea,Al-Ghazaleen,Al-Ghazaleen loose tea 250 g,الغزالين شاي حلل 250 غم,250,g,box,Jordan,no,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza
tea,Al-Ghazaleen,Al-Ghazaleen loose tea 500 g,الغزالين شاي حلل 500 غم,500,g,box,Jordan,no,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza
tea,Al-Ghazaleen,Al-Ghazaleen loose tea 1 kg,الغزالين شاي حلل 1 كغم,1000,g,box,Jordan,no,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza; listed as unavailable at time of check
tea,Al-Ghazaleen,"Al-Ghazaleen black tea, 100 bags (200 g)",الغزالين شاي أسود 100 كيس 200 غرام,200,g,box,Jordan,no,medium,https://www.talabat.com/ar/jordan/talabat-mart/product/%D8%A7%D9%84%D8%BA%D8%B2%D8%A7%D9%84%D9%8A%D9%86-%D8%B4%D8%A7%D9%8A-%D8%A3%D8%B3%D9%88%D8%AF-%D8%A7%D9%83%D9%8A%D8%A7%D8%B3%D8%8C-100-%D9%83%D9%8A%D8%B3-%D8%B4%D8%A7%D9%8A%D8%8C-200-%D8%BA%D8%B1%D8%A7%D9%85/s/900027,Jordanian listing (JOD 1.59)
tea,Saad Al-Din Al-Ghazaleen,"Saad Al-Din Al-Ghazaleen tea, 100 bags",شاي سعد الدين الغزالين 100 كيس,100,piece,box,unknown,no,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza; bag weight not stated; confirmed on palbazaar listing
tea,Al-Nimer,"Al-Nimer original tea, 100 bags",النمر الاصلي شاي 100 كيس,100,piece,box,unknown,no,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza; bag weight not stated
tea,Al-Nimer,Al-Nimer original loose tea 250 g,النمر الاصلي شاي حلل 250 غم,250,g,box,unknown,no,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza
tea,Al-Nimer,Al-Nimer original loose tea 1 kg,النمر الاصلي شاي حلل 1 كغم,1000,g,box,unknown,no,medium,https://www.palbazaar.com/%D9%85%D8%B4%D8%B1%D9%88%D8%A8%D8%A7%D8%AA-%D8%B3%D8%A7%D8%AE%D9%86%D8%A9,Palestinian online supermarket (prices in NIS); plausibly also in Gaza; listed at 8 NIS which looks too low for 1 kg; size may be mislabelled; confirmed on palbazaar listing
