item_slug,brand,name_en,name_ar,pack_size,pack_unit,pack_type,origin_country,in_aid_parcels,confidence,source_url,notes
fresh_milk,Al-Jebrini,Al-Jebrini fresh milk full-fat 1 L bottle,الجبريني حليب فرش بلاستيك كامل الدسم 1لتر,1000,ml,bottle,Palestine,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%A8%D9%8A%D8%B6,Listed by a West Bank online grocer; Gaza availability not confirmed
fresh_milk,Al-Jebrini,Al-Jebrini fresh milk low-fat 1 L bottle,الجبريني حليب فرش بلاستيك قليل الدسم 1لتر,1000,ml,bottle,Palestine,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%A8%D9%8A%D8%B6,Listed by a West Bank online grocer; Gaza availability not confirmed
fresh_milk,Al-Jebrini,Al-Jebrini fresh milk full-fat 1 L carton,الجبريني حليب فرش كرتون كامل الدسم 1لتر,1000,ml,carton,Palestine,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%A8%D9%8A%D8%B6,Listed by a West Bank online grocer; Gaza availability not confirmed
fresh_milk,Al-Jebrini,Al-Jebrini fresh milk low-fat 1 L carton,الجبريني حليب فرش كرتون قليل الدسم 1لتر,1000,ml,carton,Palestine,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%A8%D9%8A%D8%B6,Listed by a West Bank online grocer; Gaza availability not confirmed
fresh_milk,Al-Jebrini,Al-Jebrini fresh milk 3% 2 L,الجبريني حليب طازج 2 لتر 3%,2000,ml,bottle,Palestine,no,high,https://www.al-jebrini.com/products/12,Hebron producer; Gaza availability not confirmed
fresh_milk,Al-Jebrini,Al-Jebrini fresh milk 2 x 1 L pack,حليب فرش الجبريني 2*1لتر,2000,ml,bottle,Palestine,no,high,https://dokan.ps/product-category/super-market/dairy-products-milk-and-cheeses/milk/page/3/,Twin pack. Listed by a West Bank online grocer; Gaza availability not confirmed
fresh_milk,Al-Jebrini,Al-Jebrini Premium whole milk 4% 1 L,الجبريني حليب بريميوم كامل الدسم 4% 1 لتر,1000,ml,carton,Palestine,no,medium,https://www.al-jebrini.com/products/12,"Premium line; the source does not say whether it is fresh or ESL, so it is treated as fresh"
fresh_milk,Al-Jebrini,Al-Jebrini Premium low-fat milk 1% 1 L,الجبريني حليب بريميوم قليل الدسم 1% 1 لتر,1000,ml,carton,Palestine,no,medium,https://www.al-jebrini.com/products/12,Premium line
fresh_milk,Al-Jebrini,Al-Jebrini Premium lactose-free milk 1 L,الجبريني حليب بريميوم خالي من اللاكتوز 1 لتر,1000,ml,carton,Palestine,no,medium,https://www.al-jebrini.com/products/12,Premium line
fresh_milk,Al-Jebrini,Al-Jebrini Premium full cream milk 4% 250 ml,الجبريني حليب بريميوم كامل الدسم 250 مل,250,ml,carton,Palestine,no,medium,https://www.al-jebrini.com/products/12,Small single-serve pack
uht_milk,Al-Jebrini,Al-Jebrini Bonjour milk 1 L carton,الجبريني حليب بونجور كرتون 1لتر,1000,ml,carton,Palestine,unknown,high,https://www.palbazaar.com/%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%A8%D9%8A%D8%B6,"The producer calls Bonjour fully processed milk, so it is treated as long-life. Listed by a West Bank online grocer; Gaza availability not confirmed"
uht_milk,Al-Jebrini,Al-Jebrini Bonjour milk case 12 x 1 L,الجبريني حليب بونجور كرتونة 12*1لتر,12000,ml,box,Palestine,unknown,high,https://www.palbazaar.com/%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%A8%D9%8A%D8%B6,Case of 12 cartons. Listed by a West Bank online grocer; Gaza availability not confirmed
uht_milk,Al-Jebrini,Al-Jebrini Bilady UHT milk 3% 1 L,الجبريني حليب بلادي طويل الأجل 3% 1 لتر,1000,ml,carton,Palestine,unknown,high,https://www.al-jebrini.com/products/12,Also listed by dokan.ps
