item_slug,brand,name_en,name_ar,pack_size,pack_unit,pack_type,origin_country,in_aid_parcels,confidence,source_url,notes
flour,WFP,"Wheat flour, 25 kg aid sack",كيس طحين 25 كغم - برنامج الأغذية العالمي,25000,g,bag,various,yes,high,https://x.com/WFP/status/2009231086505570543,WFP full ration = two food boxes plus two 25 kg bags of wheat flour
flour,UNRWA,"Wheat flour, 25 kg aid sack",كيس طحين 25 كغم - الأونروا,25000,g,bag,various,yes,high,https://www.ochaopt.org/content/gaza-humanitarian-response-update-8-21-june-2025,OCHA: minimum one 25 kg bag of flour per household; UNRWA distributed bags of flour 2025
flour,generic,"Wheat flour, 25 kg commercial sack",كيس طحين 25 كيلو,25000,g,bag,various,no,high,https://t.me/s/asarsook,Commercial and resold aid sacks; the price swings a lot
flour,generic,"Wheat flour, 50 kg sack",كيس طحين 50 كيلو,50000,g,bag,various,unknown,low,https://t.me/s/asarsook,50 kg sack not found in the cited Gaza price channel; 25 kg is the standard sack
flour,generic,"Wheat flour, 1 kg loose",كيلو طحين,1000,g,loose,various,no,high,https://t.me/s/asarsook,Sold by the kilo from opened sacks
flour,generic,"Wheat flour, 1 ratl (3 kg) loose",رطل طحين 3 كيلو,3000,g,loose,various,no,medium,https://t.me/s/asarsook,Gaza ratl = about 3 kg
bread,generic,"Bread bundle (rabta), about 2 kg",ربطة خبز 2 كيلو,2000,g,bag,Palestine,no,high,https://t.me/s/asarsook,Bakery bundle; WFP-subsidised bundles were sold at 2-3 NIS
rice,generic,"Egyptian rice, 1 kg loose",كيلو رز مصري,1000,g,loose,Egypt,unknown,high,https://t.me/s/asarsook,Cheapest rice in Gaza price lists
long_grain_rice,generic,"Long-grain rice, 1 kg loose",كيلو رز طويل,1000,g,loose,various,unknown,high,https://t.me/s/asarsook,
long_grain_rice,generic,"Basmati rice, 4 kg bag",رز بسمتي 4 كيلو,4000,g,bag,India,no,medium,https://t.me/s/asarsook,4 kg basmati bag seen in a Gaza price list
semolina,generic,"Semolina, 1 kg loose",كيلو سميد,1000,g,loose,various,no,high,https://t.me/s/asarsook,
bulgur,generic,"Bulgur, 1 kg loose",كيلو برغل,1000,g,loose,various,unknown,high,https://t.me/s/asarsook,
pasta,generic,"Pasta, 1 kg",معكرونة كيلو,1000,g,bag,various,yes,high,https://t.me/s/asarsook,Pasta is in WFP/GHF family parcels
pasta,generic,"Spaghetti, 400 g pack",معكرونة اسبكتي 400 غ,400,g,bag,Egypt,unknown,medium,https://t.me/s/asarsook,
pasta,generic,"Pasta, 500 g pack",نص كيلو معكرونة,500,g,bag,various,unknown,high,https://t.me/s/asarsook,
vermicelli,generic,"Vermicelli, 500 g pack",شعيرية نص كيلو,500,g,bag,various,no,high,https://t.me/s/asarsook,
corn_starch,generic,"Corn starch, 1 oqiya (about 250 g) loose",وقية نشا,250,g,loose,various,no,high,https://t.me/s/asarsook,
yeast,generic,"Instant yeast, 500 g pack",باكو خميرة 500 جرام,500,g,box,various,no,high,https://t.me/s/asarsook,
yeast,generic,"Instant yeast, 400 g box",خميرة 400 غ,400,g,box,various,no,medium,https://t.me/s/asarsook,
instant_noodles,Indomie,Indomie noodle cup,اندومي كاسة,60,g,tub,Egypt,no,medium,https://t.me/s/asarsook,Gaza lists show 'اندومي كاسه'; 60 g is the Egyptian cup size (Carrefour Egypt)
instant_noodles,generic,Indomie-type noodle packet,بكيت اندومي,75,g,sachet,Egypt,no,medium,https://t.me/s/asarsook,Gaza lists show a single packet; 70-75 g is the usual Egyptian size
taboon_bread,generic,"Taboon bread, 1 loaf",رغيف طابون,1,piece,piece,Palestine,no,medium,,Bakery or home taboon
shrak_bread,generic,"Shrak/saj bread, 1 sheet",رغيف شراك,1,piece,piece,Palestine,no,medium,,
kaak_sesame,generic,"Sesame ka'ak ring, 1 piece",كعكة سمسم,1,piece,piece,Palestine,no,low,,Street bakery item
rice,El Mazag,"El Mazag Egyptian rice, 1 kg",أرز مصري المزاج 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Rehana,"Rehana Egyptian rice, 1 kg",أرز مصري ريحانة 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Rehana,"Rehana Egyptian rice, 5 kg",أرز مصري ريحانة 5 كجم,5000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,El Doha,"El Doha Egyptian rice, 1 kg",أرز مصري الضحى 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,El Doha,"El Doha Egyptian rice, 5 kg",أرز مصري الضحى 5 كجم,5000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Darahem,"Darahem Egyptian rice, 1 kg",أرز مصري دراهم 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Darahem,"Darahem Egyptian rice, 5 kg",أرز مصري دراهم 5 كجم,5000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Zamzam,"Zamzam Egyptian rice, 1 kg",أرز مصري زمزم 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,El Matbakh,"El Matbakh Egyptian rice, 1 kg",أرز مصري المطبخ 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,El Saa,"El Saa Egyptian rice, 1 kg",أرز مصري الساعة 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,El Saa,"El Saa Egyptian rice, 5 kg",أرز مصري الساعة 5 كجم,5000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Zaeem,"Zaeem Egyptian rice, 1 kg",أرز مصري زعيم 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Zaeem,"Zaeem Egyptian rice, 5 kg",أرز مصري زعيم 5 كجم,5000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Asem,"Asem Egyptian rice, 1 kg",أرز مصري عاصم 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Asem,"Asem Egyptian rice, 5 kg",أرز مصري عاصم 5 كجم,5000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Dayma,"Dayma Egyptian rice, 1 kg",أرز مصري دايمة 1 كجم,1000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
rice,Dayma,"Dayma Egyptian rice, 5 kg",أرز مصري دايمة 5 كجم,5000,g,bag,Egypt,unknown,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Egyptian medium-grain rice; Egyptian goods reach Gaza via commercial and aid trucks
long_grain_rice,Zamzam,"Zamzam Indian basmati, 1 kg",أرز زمزم بسمتي هندي 1 كجم,1000,g,bag,Egypt,no,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Seen at Carrefour Egypt; packed or sold in Egypt
long_grain_rice,Darahem,"Darahem golden basmati, 1 kg",أرز دراهم بسمتي ذهبي 1 كجم,1000,g,bag,Egypt,no,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Seen at Carrefour Egypt; packed or sold in Egypt
long_grain_rice,Rehana,"Rehana golden basmati, 1 kg",أرز ريحانة بسمتي ذهبي 1 كجم,1000,g,bag,Egypt,no,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Seen at Carrefour Egypt; packed or sold in Egypt
long_grain_rice,Rehana,"Rehana Indian basmati, 1 kg",أرز ريحانة بسمتي هندي 1 كجم,1000,g,bag,Egypt,no,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Seen at Carrefour Egypt; packed or sold in Egypt
long_grain_rice,Daria,"Daria basmati, 500 g",أرز دريا بسمتي 500 جم,500,g,bag,Egypt,no,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Seen at Carrefour Egypt; packed or sold in Egypt
long_grain_rice,Daria,"Daria basmati, 1 kg",أرز دريا بسمتي 1 كجم,1000,g,bag,Egypt,no,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Seen at Carrefour Egypt; packed or sold in Egypt
long_grain_rice,Daria,"Daria basmati, 2 kg",أرز دريا بسمتي 2 كجم,2000,g,bag,Egypt,no,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Seen at Carrefour Egypt; packed or sold in Egypt
long_grain_rice,Daria,"Daria basmati, 5 kg",أرز دريا بسمتي 5 كجم,5000,g,bag,Egypt,no,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Seen at Carrefour Egypt; packed or sold in Egypt
long_grain_rice,Daria,"Daria golden basmati, 500 g",أرز دريا بسمتي ذهبي 500 جم,500,g,bag,Egypt,no,medium,https://www.carrefouregypt.com/mafegy/ar/c/FEGY1701240,Seen at Carrefour Egypt; packed or sold in Egypt
