item_slug,brand,name_en,name_ar,pack_size,pack_unit,pack_type,origin_country,in_aid_parcels,confidence,source_url,notes
chicken,generic,"Whole chicken (fresh), 1 kg",دجاج - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,Price-list base unit; pre-war Gaza broiler chicken was sold live or freshly slaughtered by the kilo.
chicken_breast,generic,"Chicken breast, 1 kg loose",صدر دجاج - كيلو,1000,g,loose,Palestine,no,high,https://www.un.org/unispal/document/wfp-palestine-food-security-analysis-market-monitor-palestine-january-2026/,sold by the kilo
chicken_thigh,generic,"Chicken thighs, 1 kg loose",فخذ دجاج - كيلو,1000,g,loose,Palestine,no,high,https://www.un.org/unispal/document/wfp-palestine-food-security-analysis-market-monitor-palestine-january-2026/,sold by the kilo
chicken_drumstick,generic,"Chicken drumsticks, 1 kg loose",دبوس دجاج - كيلو,1000,g,loose,Palestine,no,medium,https://www.motqdmon.com/2022/04/863.html,sold by the kilo
chicken_wings,generic,"Chicken wings, 1 kg loose",جوانح دجاج - كيلو,1000,g,loose,Palestine,no,high,https://www.un.org/unispal/document/wfp-palestine-food-security-analysis-market-monitor-palestine-january-2026/,sold by the kilo
chicken_liver,generic,"Chicken liver, 1 kg loose",كبدة دجاج - كيلو,1000,g,loose,Palestine,no,high,https://www.un.org/unispal/document/wfp-palestine-food-security-analysis-market-monitor-palestine-january-2026/,sold by the kilo
chicken_shish_tawook,generic,"Shish tawook, 1 kg loose",شيش طاووق - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2022/04/863.html,sold by the kilo
turkey_breast,generic,"Turkey breast, 1 kg loose",صدر حبش - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2022/04/863.html,sold by the kilo
turkey_thigh,generic,"Turkey thigh, 1 kg loose",فخذ حبش - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2022/04/863.html,sold by the kilo
turkey_wing,generic,"Turkey wing, 1 kg loose",جوانح حبش - كيلو,1000,g,loose,Palestine,no,medium,https://www.motqdmon.com/2022/04/863.html,sold by the kilo
turkey_neck,generic,"Turkey neck, 1 kg loose",رقبة حبش - كيلو,1000,g,loose,Palestine,no,medium,https://www.motqdmon.com/2022/04/863.html,sold by the kilo
duck,generic,"Local duck, 1 kg (slaughtered)",بط بلدي - كيلو,1000,g,loose,Palestine,no,medium,https://www.motqdmon.com/2022/04/863.html,priced per kg after slaughter
rabbit,generic,"Rabbit, 1 kg (slaughtered)",أرانب - كيلو,1000,g,loose,Palestine,no,medium,https://www.motqdmon.com/2022/04/863.html,priced per kg after slaughter
baladi_rooster,generic,"Local rooster, 1 kg (slaughtered)",ديك بلدي - كيلو,1000,g,loose,Palestine,no,medium,https://www.motqdmon.com/2022/04/863.html,priced per kg after slaughter
beef,generic,"Beef (ordinary veal), 1 kg loose",لحم عجل - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,"butcher cut, sold by the kilo"
veal,generic,"Veal (batello), 1 kg loose",عجل بتلو - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
beef_liver,generic,"Calf liver, 1 kg loose",كبدة عجل - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
lamb,generic,"Lamb, 1 kg loose",لحم ضاني - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
