item_slug,brand,name_en,name_ar,pack_size,pack_unit,pack_type,origin_country,in_aid_parcels,confidence,source_url,notes
veg_oil,Shuqha,Shuqha corn oil 3 L,زيت الذرة شقحة 3 لتر,3000,ml,bottle,unknown,no,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=121103,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza"
veg_oil,Safi,Al-Safi sunflower oil 5 L,زيت دوار الشمس الصافي 5 لتر,5000,ml,bottle,unknown,no,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=121104,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza"
veg_oil,Reem,Reem sunflower oil 1 L,زيت دوار الشمس ريم 1 لتر,1000,ml,bottle,unknown,no,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=121109,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza"
veg_oil,Reem,Reem sunflower oil 3 L,زيت دوار الشمس ريم 3 لتر,3000,ml,bottle,unknown,no,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=121110,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza"
veg_oil,Marina,Marina sunflower oil 3 L,زيت مارينا دوار الشمس 3 لتر,3000,ml,bottle,unknown,no,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=121117,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza"
veg_oil,Oba,Oba Turkish sunflower oil 3 L,زيت دوار الشمس أوبا التركي 3 لتر,3000,ml,bottle,Turkey,no,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=310213,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza"
vegetable_ghee,Al-Ghazal,Al-Ghazal vegetable ghee 1 kg,سمنة الغزال 1 كيلو,1000,g,tin,unknown,no,high,https://www.palbazaar.com/index.php?route=product/product&product_id=121119,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza; also on karaz.ps"
vegetable_ghee,Al-Ghazal,Al-Ghazal vegetable ghee 2 kg,سمنة الغزال 2 كيلو,2000,g,tin,unknown,no,high,https://www.palbazaar.com/index.php?route=product/product&product_id=121120,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza"
vegetable_ghee,Nabatin,Nabatin vegetable ghee 1 kg,سمنة نباتين 1 كيلو,1000,g,tin,unknown,no,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=121121,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza"
vegetable_ghee,Nabatin,Nabatin vegetable ghee 2 kg,سمنة نباتين 2 كيلو,2000,g,tin,unknown,no,medium,https://www.palbazaar.com/index.php?route=product/product&product_id=121122,"Palestinian online grocer (NIS prices); West Bank market, plausibly also in Gaza"
