item_slug,brand,name_en,name_ar,pack_size,pack_unit,pack_type,origin_country,in_aid_parcels,confidence,source_url,notes
tomato,generic,"Tomato, 1 kg loose",بندورة - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
tomato,generic,"Tomato, 4 kg loose",بندورة - 4 كيلو,4000,g,loose,Palestine,no,medium,https://www.motqdmon.com/2022/04/863.html,4 kg deal seen in a Gaza price list
cucumber,generic,"Cucumber, 1 kg loose",خيار - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
cucumber,generic,"Local cucumber (baladi), 1 kg loose",خيار بلدي - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
aubergine,generic,"Aubergine, 1 kg loose",باذنجان - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
courgette,generic,"Courgette, 1 kg loose",كوسا - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
pepper,generic,"Green pepper, 1 kg loose",فلفل أخضر - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
pepper,generic,"Sweet bell pepper, 1 kg loose",فلفل رومي - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
onion,generic,"Onion (local), 1 kg loose",بصل بلدي - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
onion,generic,"Red onion, 1 kg loose",بصل أحمر - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
onion,generic,"Onion, 4 kg loose",بصل - 4 كيلو,4000,g,loose,Palestine,no,medium,https://www.motqdmon.com/2022/04/863.html,4 kg deal seen in a Gaza price list
garlic,generic,"Garlic, wiqiya (~250 g) loose",ثوم - وقية,250,g,loose,unknown,no,high,https://www.motqdmon.com/2020/09/7.html,priced per wiqiya; wiqiya = 250 g (quarter kilo); often imported
garlic,generic,"Garlic, 1 kg loose",ثوم - كيلو,1000,g,loose,unknown,no,high,https://www.motqdmon.com/2022/07/461.html,sold by the kilo; often imported
potato,generic,"Potato (local), 1 kg loose",بطاطا بلدية - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
potato,generic,"Small potatoes, 10 kg",بطاطا صغيرة - 10 كيلو,10000,g,bag,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,listed as 10 kg in a Gaza price list
carrot,generic,"Carrot, 1 kg loose",جزر - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
spinach,generic,"Spinach, 1 kg loose",سبانخ - كيلو,1000,g,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,sold by the kilo
spinach,generic,"Spinach, 1 bunch",سبانخ - ربطة,1,piece,loose,Palestine,no,medium,,bunch (ربطة); weight varies
parsley,generic,"Parsley, 1 bunch",بقدونس - ربطة,1,piece,loose,Palestine,no,high,https://www.motqdmon.com/2020/09/7.html,bunch (ربطة); weight varies
