item_slug,brand,name_en,name_ar,pack_size,pack_unit,pack_type,origin_country,in_aid_parcels,confidence,source_url,notes
canned_luncheon_beef,Siniora,Siniora beef luncheon 225 g,سنيورة بقر لانشون 225غم,225,g,can,Palestine,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_luncheon_beef,Siniora,Siniora beef luncheon 310 g,سنيورة بقر لانشون 310غم,310,g,can,Palestine,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_luncheon_beef,Siniora,Siniora beef luncheon 800 g,سنيورة بقر لانشون 800غم,800,g,can,Palestine,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_luncheon_turkey,Siniora,Siniora turkey luncheon 800 g,سنيورة لانشون حبش 800غم,800,g,can,Palestine,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_corned_beef,Extra,Extra canned meat 340 g,لحمة اكسترا 340غم,340,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_luncheon_beef,Tazej,Tazej beef luncheon 340 g,طازج لانشون لحم بقري 340غم,340,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_luncheon_beef,Tazej,Tazej beef luncheon 825 g,طازج لانشون لحم بقري 825غم,825,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_sardines,Marina,Marina mackerel sardine in vegetable oil 200 g,مارينا مكريل سردين بالزيت النباتي 200غم,200,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna,Marina,Marina tuna in vegetable oil 160 g,تونا مارينا 160غم بالزيت النباتي,160,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna,Marina,Marina tuna with hot pepper 160 g,تونا مارينا 160غم بالفلفل الحار,160,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna,Marina,Marina tuna in vegetable oil 240 g,تونا مارينا 240 غم بالزيت النباتي,240,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna,Marina,Marina tuna with hot pepper 240 g,تونا مارينا 240 غم بالفلفل الحار,240,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna,Marina,Marina tuna in vegetable oil 95 g,تونا مارينا 95 غم بالزيت النباتي,95,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna,Marina,Marina tuna with hot pepper 95 g,تونا مارينا 95 غم بالفلفل الحار,95,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna_mix,Marina,Marina tuna with corn mix in vegetable oil 150 g,تونا مارينا مع خلطة الذرة 150غم بالزيت النباتي,150,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna_mix,Marina,"Marina tuna with corn mix, hot 150 g",تونا مارينا مع خلطة الذرة 150غم بالفلفل الحار,150,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_sardines,Porthos,Porthos mackerel sardine with hot pepper 120 g,سردين بورثوس سمك مكريل 120غم بالفلفل الحار,120,g,can,Portugal,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_sardines,Porthos,Porthos mackerel sardine in sunflower oil 120 g,سردين بورثوس سمك مكريل 120غم بزيت دوار الشمس,120,g,can,Portugal,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_sardines,Sinokrot,Sinokrot mackerel sardine in vegetable oil 125 g,سردين سنقرط مكريل 125غم بالزيت النباتي,125,g,can,Palestine,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer; Sinokrot is a Palestinian group"
canned_sardines,Sinokrot,Sinokrot mackerel sardine with hot pepper 125 g,سردين سنقرط مكريل 125غم بالفلفل الحار,125,g,can,Palestine,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer; Sinokrot is a Palestinian group"
canned_sardines,Americana,Americana sardines 125 g,سردين امريكانا 125غم,125,g,can,Egypt,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna,Big Fish,"Big Fish tuna, hot 140 g",تونا big fish حار 140غم,140,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna,Big Fish,"Big Fish tuna, regular 140 g",تونا big fish عادي 140غم,140,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_tuna,Heinz,Heinz tuna chunks 185 g,تونا هاينز قطع 185غم,185,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_fava,Al Mazraa,Al Mazraa ful medames 400 g,المزرعة فول مدمس 400غم,400,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_peas,Eden,Eden peas 550 g,عيدن بازيلاء 550غم,550,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_peas_carrots,Eden,Eden peas and carrots 550 g,عيدن بازيلاء وجزر 550غم,550,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_chickpeas,Eden,Eden whole chickpeas 550 g,عيدن حمص حب 550غم,550,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_white_beans,Eden,Eden white beans 570 g,عيدن فاصوليا بيضاء 570غم,570,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_fava,Harvest,Harvest ful with lemon 380 g,فول هارفست 380غم بالليمون,380,g,can,Egypt,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_fava,Harvest,"Harvest ful, hot 380 g",فول هارفست 380غم حار,380,g,can,Egypt,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_sweet_corn,Eden,Eden sweet corn kernels 500 g,عيدن ذرة صفراء حلوة حب 500غم,500,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_mushrooms,Al Diyafa,Al Diyafa whole mushrooms 400 g,الضيافة فطر حبة كاملة 400غم,400,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_mushrooms,Marina,Marina sliced mushrooms 290 g,فطر مارينا مشرح 290غم,290,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
green_olives,Eden,"Eden green olives, whole 560 g",عيدن زيتون اخضر حب كامل 560غم,560,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
green_olives,Eden,"Eden green olives, pitted 560 g",عيدن زيتون اخضر حب كامل بدون نواة 560غم,560,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
green_olives,Eden,"Eden green olives, sliced 560 g",عيدن زيتون اخضر مشرح 560غم,560,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
black_olives,Eden,"Eden black olives, pitted 550 g",عيدن زيتون اسود حب كامل بدون نواة 550غم,550,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
black_olives,Eden,"Eden black olives, sliced 550 g",عيدن زيتون اسود مشرح 550غم,550,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
black_olives,Zadna,"Zadna black olives, sliced 560 g",زادنا زيتون اسود مشرح 560غم,560,g,jar,Palestine,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer; Zadna is Sinokrot's Jordan Valley pickling and canning company"
black_olives,Zita,"Zita black olives, sliced 560 g",زيتا زيتون اسود مشرح 560غم,560,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
pickled_aubergine,Zadna,Zadna pickled aubergine 540 g,زادنا مخلل باذنجان 540غم,540,g,jar,Palestine,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer; Zadna is Sinokrot's Jordan Valley pickling and canning company"
pickled_cucumber,Zadna,"Zadna pickled cucumbers, hot 560 g",زادنا مخلل خيار 560غم حار,560,g,jar,Palestine,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer; Zadna is Sinokrot's Jordan Valley pickling and canning company"
pickled_cucumber,Zadna,"Zadna pickled cucumbers 18-25 per jar, 650 g",زادنا مخلل خيار 18-25 650غم,650,g,jar,Palestine,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer; Zadna is Sinokrot's Jordan Valley pickling and canning company"
pickled_cucumber,Zadna,"Zadna pickled cucumbers 7-9 per jar, 560 g",زادنا مخلل خيار 7-9 560غم,560,g,jar,Palestine,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer; Zadna is Sinokrot's Jordan Valley pickling and canning company"
pickled_peppers,Zadna,Zadna pickled peppers 550 g,زادنا مخلل فلفل 550غم,550,g,jar,Palestine,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer; Zadna is Sinokrot's Jordan Valley pickling and canning company"
pickled_aubergine,Zita,Zita pickled aubergine 540 g,زيتا مخلل باذنجان 540غم,540,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
pickled_cucumber,Zita,"Zita pickled cucumbers 18-25 per jar, 650 g",زيتا مخلل خيار 18-25 650غم,650,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
pickled_cucumber,Zita,"Zita pickled cucumbers 7-9 per jar, 560 g",زيتا مخلل خيار 7-9 560غم,560,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
pickled_peppers,Zita,Zita pickled hot peppers 550 g,زيتا مخلل فلفل حار 550غم,550,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
pickled_cucumber,Eden,"Eden pickled cucumbers 7-9 per jar, 550 g",عيدن مخلل خيار 7-9 550غم,550,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
pickled_peppers,Eden,Eden pickled pepper horns 540 g,عيدن مخلل قرن فلفل 540غم,540,g,jar,unknown,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_fruit_cocktail,Lazeeza,Lazeeza fruit salad 850 g,سلطة فواكه لزيزه 850 غم,850,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_pineapple,Marina,Marina pineapple slices 140 g,شرائح اناناس مارينا 140غم,140,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_pineapple,Marina,Marina pineapple slices 490 g,شرائح اناناس مارينا 490غم,490,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_pineapple,Marina,Marina pineapple slices 227 g,مارينا شرائح اناناس 227غم,227,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
canned_fruit_cocktail,Marina,Marina fruit cocktail 140 g,كوكتيل فواكة مارينا 140غم,140,g,can,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,"Listed by Palestine Bazaar, a Palestinian online grocer"
mixed_pickles,Zadna,Zadna mixed pickles 3 kg,مخلل زادنا 3 كيلو,3000,g,tub,Palestine,no,high,https://www.palbazaar.com/%D9%85%D8%B9%D9%84%D8%A8%D8%A7%D8%AA,Large catering tub; listed by Palestine Bazaar
tomato_paste,Tammy,Tammy tomato paste 580 g,صلصة بندورة تامي 580غم,580,g,jar,unknown,unknown,medium,https://www.palbazaar.com/%D9%85%D9%88%D8%A7%D8%AF-%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9,Listed by Palestine Bazaar; pack type not stated
tomato_paste,Lazeeza,Lazeeza tomato paste 1 kg glass jar,صلصة بندوره لزيزه زجاج 1كغم,1000,g,jar,unknown,unknown,high,https://www.palbazaar.com/%D9%85%D9%88%D8%A7%D8%AF-%D8%BA%D8%B0%D8%A7%D8%A6%D9%8A%D8%A9,Listed by Palestine Bazaar
lupini_beans,generic,Dried lupini beans 1 kg,حب ترمس 1كغم,1000,g,bag,unknown,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,Store-packed dry pulses listed by Palestine Bazaar
chickpeas,generic,Dried chickpeas 1 kg,حب حمص 1كغم,1000,g,bag,unknown,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,Store-packed dry pulses listed by Palestine Bazaar
brown_lentils_whole,generic,Whole lentils 1 kg,حب عدس 1كغم,1000,g,bag,unknown,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,Store-packed dry pulses listed by Palestine Bazaar
red_lentils_split,generic,Split lentils 1 kg,حب عدس مجروش 1كغم,1000,g,bag,unknown,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,Store-packed dry pulses listed by Palestine Bazaar
white_beans,generic,Dried white beans 1 kg,حب فاصوليا بيضاء 1كغم,1000,g,bag,unknown,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,Store-packed dry pulses listed by Palestine Bazaar
fava_beans,generic,Dried fava beans 700 g,حب فول 700غم,700,g,bag,unknown,no,high,https://www.palbazaar.com/%D8%A7%D9%84%D9%85%D8%AD%D9%85%D8%B5-%D8%A7%D9%84%D8%A8%D9%82%D9%88%D9%84%D9%8A%D8%A7%D8%AA,Store-packed dry pulses listed by Palestine Bazaar
red_lentils_split,generic,"Red (yellow) split lentils, 1 kg loose",عدس أصفر - كيلو,1000,g,loose,unknown,no,medium,https://t.me/s/asarsook?after=864,"Gaza market price list, 22/10/2025: 3-5 NIS. The list does not give the unit; it is assumed to be per kg"
brown_lentils_whole,generic,"Black/brown whole lentils, 1 kg loose",عدس أسود - كيلو,1000,g,loose,unknown,no,medium,https://t.me/s/asarsook?after=864,"Gaza market price list, 22/10/2025: 3-5 NIS. The list does not give the unit; it is assumed to be per kg"
chickpeas,generic,"Dried chickpeas, 1 kg loose",حمص ناشف - كيلو,1000,g,loose,unknown,no,medium,https://t.me/s/asarsook?after=864,"Gaza market price list, 22/10/2025: 3-5 NIS. The list does not give the unit; it is assumed to be per kg"
dried_peas,generic,"Dried peas, 1 kg loose",بازيلا ناشفة - كيلو,1000,g,loose,unknown,no,medium,https://t.me/s/asarsook?after=864,"Gaza market price list, 22/10/2025: 3-5 NIS. The list does not give the unit; it is assumed to be per kg"
dried_cowpeas,generic,"Dried black-eyed peas, 1 kg loose",لوبيا ناشفة - كيلو,1000,g,loose,unknown,no,medium,https://t.me/s/asarsook?after=864,"Gaza market price list, 22/10/2025: 3-5 NIS. The list does not give the unit; it is assumed to be per kg"
