item_slug,brand,name_en,name_ar,pack_size,pack_unit,pack_type,origin_country,in_aid_parcels,confidence,source_url,notes
shawarma_sandwich,Fahd Restaurant (Gaza City),Fahd Restaurant shawarma sandwich,فرشوحة شاورما - مطعم فهد,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2212,Gaza City restaurant; 15 NIS in the Gaza market-price channel's restaurant round-up
shawarma_sandwich,Shawarma Iyad (Gaza City),Shawarma Iyad shawarma sandwich,فرشوحة شاورما - مطعم شاورما اياد,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2212,Gaza City; 15 NIS
shawarma_sandwich,Baladna Restaurant (Gaza City),Baladna Restaurant shawarma sandwich with cola,شاورما مع كولا - مطعم بلدنا,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2212,Gaza City; 20 NIS including a cola
shawarma_sandwich,Shawarma Mahmoud w Hani (Gaza City),Mahmoud and Hani shawarma sandwich with cola and salad,شاورما مع كولا وسلطة - مطعم شاورما محمود وهاني,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2212,Gaza City; 20 NIS including cola and salad
shawarma_sandwich,Amir Restaurant (Nuseirat),Amir Restaurant shawarma sandwich,فرشوحة شاورما - مطعم أمير النصيرات,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2212,Nuseirat; 15 NIS (Wednesday offer)
shawarma_sandwich,Youssef Abu Hasira Restaurant (Nuseirat),Youssef Abu Hasira shawarma sandwich,فرشوحة شاورما - مطعم يوسف ابو حصيرة,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2212,Nuseirat; 15 NIS
shawarma_sandwich,Al-Malik Restaurant (Khan Younis),Al-Malik shawarma sandwich with a can of cola,شاورما مع علبة كولا - مطعم الملك خانيونس,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2212,Khan Younis; 15 NIS including a can of cola (Wednesday and Thursday)
shawarma_sandwich,Al-Khudari Restaurant (Gaza City),Al-Khudari shawarma sandwich,فرشوحة شاورما - مطعم الخضري,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2212,Gaza City; 10 NIS (Thursday)
shawarma_sandwich,Al-Hamlawi Restaurant (Bureij camp),Al-Hamlawi shawarma sandwich,فرشوحة شاورما - مطعم الحملاوي,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2596,Bureij camp; 8 NIS
shawarma_sandwich,Abu Basir Restaurant,Abu Basir shawarma sandwich,فرشوحة شاورما - مطعم أبو بصير,1,piece,piece,Palestine,no,medium,https://t.me/asarsook/1007,15 NIS; channel post summary did not name the area
falafel_sandwich,Zahran Restaurant,Zahran falafel sandwich,فرشوحة فلافل - مطعم زهران,1,piece,piece,Palestine,no,high,https://t.me/asarsook/2404,7 NIS
falafel_sandwich,unbranded (market stall),falafel sandwich from a market stall,فرشوحة فلافل من بسطة,1,piece,piece,Palestine,no,high,https://t.me/asarsook/705,No brand; 12 NIS in Gaza markets (July to early Aug 2025) and 5 NIS in Nuseirat (Aug-Sept 2025)
falafel_patty,unbranded (market stall),"falafel patties, 3 pieces",3 أقراص فلافل,3,piece,loose,Palestine,no,high,https://t.me/asarsook/705,"No brand; sold 3 for 1 NIS (Aug 2025), 3 for 2 NIS or 1 NIS each (July 2025)"
ful_plate,unbranded (ful shop),ful medames plate,صحن فول,1,piece,piece,Palestine,no,medium,https://t.me/s/asarsook?q=%D8%B5%D8%AD%D9%86,No brand; 5 NIS per plate in a 2026 post
hummus_plate,unbranded (ful shop),"hummus, one wiqiyya",حمص وقية,250,g,loose,Palestine,no,medium,https://t.me/s/asarsook?q=%D8%B5%D8%AD%D9%86,No brand; 7 NIS per wiqiyya (a 2026 post). 250 g is the usual Palestinian wiqiyya; the post did not give grams
hummus_tub,Ahla,Ahla hummus with pine nuts 400 g,حمص أحلى بالصنوبر 400غ,400,g,tub,Israel,no,low,https://world.openfoodfacts.org/product/0260500061431,Pack size from Open Food Facts; no evidence found that it is on sale in Gaza now
