slug,name_en,name_ar,aliases_ar,category,unit,shelf_life,role,purchase_step,keeps_days_at_20c,q10,origin,confidence,source_url,notes
potato_chips,potato crisps / chips,شيبس بطاطا,شيبس|شبس|رقائق بطاطا|تشيبس|أصابع بطاطا,snacks_sweets_baby,g,stable,snack,18,150,1.5,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,Sealed bags; small 16-40 g bags are the common kids purchase in Gaza shops. Heat speeds rancidity.
corn_puffs,corn / peanut puffs (Bamba-style),بمبا,بامبا|شيبس ذرة|ذرة منفوشة|كورن|شيتوس|تسالي,snacks_sweets_baby,g,stable,snack,25,150,1.5,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,"Generic name for Bamba, Cheetos-type and peanut-butter puffs."
wheat_snack,wheat snack sticks (Bisli-style),بسلي,بيسلي|مسلي قمح|تسالي قمح,snacks_sweets_baby,g,stable,snack,50,180,1.5,market,high,https://world.openfoodfacts.org/product/7290105692092,Osem Bisli and local copies.
savory_crackers,"pretzels, beigele and salty crackers",بيجلا ومملحات,بيجلا|بيجلة|كراكر|بريتزل|مملحات|بسكوت مالح|بسكوت زعتر,snacks_sweets_baby,g,stable,snack,60,180,1.4,market,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,
tortilla_chips,tortilla / nacho chips,دوريتوس / تورتيلا,دوريتوس|ناتشو|تورتيلا شيبس,snacks_sweets_baby,g,stable,snack,45,150,1.5,market,medium,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,
popcorn,popcorn (kernels or microwave),فشار,بوشار|فوشار|ذرة فشار|حب فشار,snacks_sweets_baby,g,stable,snack,250,365,1.3,market,medium,https://dokan.ps/product-category/super-market/roasted-spices-dried-and-dates/,Kernels need a little oil and gas; popped on the stove.
plain_biscuits,plain tea biscuits (petit beurre / Marie),بسكويت شاي,بسكوت شاي|بسكويت ماري|بسكوت ماري|بيتي بير|بسكوت سادة|دايجستف,snacks_sweets_baby,g,stable,snack,100,270,1.3,both,high,https://t.me/asarsook/516,"Gaza price lists name ""بسكوت ماري"" and ""بسكوت الولد""; plain biscuits also come in aid and school snacks."
butter_cookies,butter cookies (tins),بسكويت الزبدة,كوكيز|بسكوت زبدة|علبة بسكويت,snacks_sweets_baby,g,stable,sweets,500,270,1.3,market,medium,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,"Tin/box gift biscuits, common at Eid."
cream_biscuits,cream-filled sandwich biscuits and cookies,بسكويت محشي,بسكوت محشي|اوريو|بسكويت كريمة|عرجليوت|كوكيز محشي,snacks_sweets_baby,g,stable,sweets,40,240,1.4,market,high,https://t.me/asarsook/489,Oreo and Number One packets were quoted in Deir al-Balah market in 2025.
date_biscuits,date-filled biscuits / date bars,بسكويت تمر,بسكوت تمر|بسكويت بالتمر|معمول تمر مغلف|ألواح التمر,snacks_sweets_baby,g,stable,snack,40,240,1.4,both,medium,https://t.me/asarsook/527,Commercial date-filled biscuits; sold per piece in Gaza in 2025 (10 NIS a piece at the peak). Fortified aid date bars are the separate ready_to_eat item fortified_date_bars.
