item_slug,brand,name_en,name_ar,pack_size,pack_unit,pack_type,origin_country,in_aid_parcels,confidence,source_url,notes
potato_chips,Lay's,Lay's potato chips 18 g,ليز شيبس بطاطا 18غم,18,g,bag,Israel,no,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,Strauss/Frito-Lay Israel barcodes seen in West Bank listings
potato_chips,Lay's,Lay's potato chips 40 g,ليز شيبس بطاطا 40غم,40,g,bag,Israel,no,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,
potato_chips,Lay's,Lay's salt & vinegar 120 g,ليز شيبس ملح وخل 120غم,120,g,bag,Israel,no,high,https://world.openfoodfacts.org/product/7290115679458,
potato_chips,Lay's,Lay's potato chips 200 g,ليز شيبس بطاطا 200غم,200,g,bag,Israel,no,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,
potato_chips,Lay's,Lay's BBQ 35 g,ليز شيبس باربيكيو 35غم,35,g,bag,Israel,no,high,https://world.openfoodfacts.org/product/7290106650770,
potato_chips,Lay's,Lay's classic 184 g (US import),ليز كلاسيك 184 غم,184,g,bag,USA,no,medium,https://dokan.ps/product-category/super-market/chips/,
potato_chips,Pringles,Pringles 40 g,برنجلز صغير 40غم,40,g,tin,unknown,no,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,"Original, paprika, onion, hot flavours"
potato_chips,Pringles,Pringles 165 g,برنجلز كبير 165غم,165,g,tin,unknown,no,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,"Original, paprika, onion, hot flavours"
potato_chips,Salah,Salah potato sticks 16 g,اصابع بطاطا صلاح 16غم,16,g,bag,unknown,no,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,"0.5 NIS kids bag; salt, BBQ, ketchup"
potato_chips,Salah,Royal Chips potato chips 120 g,رويال شيبس صلاح 120غم,120,g,bag,unknown,no,high,https://world.openfoodfacts.org/product/6253503590668,
potato_chips,Salah,Salah Royal Chips BBQ 32 g,رويال شيبس باربيكيو 32غم,32,g,bag,unknown,no,high,https://world.openfoodfacts.org/product/6253503590583,
potato_chips,Tiger,Tiger chips 32 g,تايجر شيبس 32غم,32,g,bag,Egypt,no,high,https://www.palbazaar.com/%D8%B4%D9%83%D9%88%D9%84%D8%A7%D8%AA%D8%A9-%D8%B4%D9%8A%D8%A8%D8%B3%D8%A7%D8%AA,"Egypt Foods Group; tomato, cheese, salt"
potato_chips,Tiger,Tiger seasoned cheese 22 g,شيبس جبنه متبله Tiger 22gm,22,g,bag,Egypt,no,high,https://world.openfoodfacts.org/product/6223000501719,
potato_chips,Tiger,Tiger seasoned cheese 10 g,شيبس جبنه متبله Tiger 10gm,10,g,bag,Egypt,no,medium,https://world.openfoodfacts.org/product/6223000506677,
