Date,Description,Debit,Credit,Currency
2026-01-03,حوالة واردة - TRANSFER REF 884213,,1200.00,ILS
2026-01-03,سوبر ماركت الأمل,145.50,,ILS
2026-01-04,مياه - تانكر,60.00,,ILS
2026-01-05,POS 3352119,3.00,,ILS
2026-01-06,صيدلية الشفاء,88.00,,ILS
2026-01-07,POS 3352119,3.00,,ILS
2026-01-08,جوال - تعبئة رصيد,30.00,,ILS
2026-01-09,سوبر ماركت الأمل,132.00,,ILS
2026-01-10,POS 3352119,3.00,,ILS
2026-01-11,غاز - اسطوانة,95.00,,ILS
2026-01-12,REF 99120384,3.00,,ILS
2026-01-13,بنزين - سولار للمولد,180.00,,ILS
2026-01-14,POS 3352119,3.00,,ILS
2026-01-15,ATM WITHDRAWAL 4412,400.00,,ILS
2026-01-16,سوبر ماركت الأمل,151.25,,ILS
2026-01-17,مياه - تانكر,60.00,,ILS
2026-01-18,عمولة خدمة,5.00,,ILS
2026-01-19,POS 3352119,3.00,,ILS
2026-01-20,MISC DEBIT 7781,22.00,,ILS
2026-01-22,زكاة,50.00,,ILS
2026-01-24,جوال - تعبئة رصيد,30.00,,ILS
2026-01-26,مياه - تانكر,60.00,,ILS
2026-01-28,سوبر ماركت الأمل,139.75,,ILS
2026-02-02,حوالة واردة - TRANSFER REF 884977,,1200.00,ILS
2026-02-03,POS 3352119,3.00,,ILS
2026-02-04,ايجار,700.00,,ILS
2026-02-05,POS 3352119,3.00,,ILS
2026-02-06,سوبر ماركت الأمل,160.00,,ILS
2026-02-08,مياه - تانكر,60.00,,ILS
2026-02-09,UNKNOWN 5512,17.50,,ILS
2026-02-10,جوال - تعبئة رصيد,30.00,,ILS
